pcds,oslaua,lsoa11,imd,lat,long,duration_to_central,total_walking,borough,distance_to_lse,average_speed_kmh
EC1Y 4AG,E09000001,E01000002,30379,51.520686,-0.090178,28,10,City of London,1.9949775006741473,4.274951787158887
IG11 9AA,E09000002,E01000069,17580,51.541338,0.098494,55,22,Barking and Dagenham,15.226834811996708,16.61109252217823
N20 8DN,E09000003,E01000280,31544,51.630455,-0.184129,58,23,Barnet,13.759329436565716,14.233789072309362
DA5 1DY,E09000004,E01000448,32132,51.440866,0.147384,65,14,Bexley,20.06024331542394,18.517147675775945
HA3 0PF,E09000005,E01000539,25260,51.577084,-0.301107,58,27,Brent,14.547693916631754,15.049338534446642
BR5 1HR,E09000006,E01000810,32559,51.385428,0.082414,56,13,Bromley,19.913373390347818,21.33575720394409
NW3 4DU,E09000007,E01000882,31192,51.548425,-0.17182,43,25,Camden,5.386619462993067,7.516213204176372
CR2 0AA,E09000008,E01001032,31701,51.347927,-0.089572,54,15,Croydon,18.597324556357904,20.663693951508783
W4 1AA,E09000009,E01001375,29992,51.501346,-0.254217,53,17,Ealing,9.614894804228221,10.884786570824401
N21 2LB,E09000010,E01001456,29825,51.638473,-0.09428,66,35,Enfield,13.93230105282061,12.665728229836917
SE9 1PG,E09000011,E01001606,28995,51.458324,0.061546,65,28,Greenwich,13.84562768359363,12.780579400240274
N16 0AN,E09000012,E01001803,18241,51.564725,-0.087597,44,21,Hackney,5.989840342883845,8.167964103932517
SW6 3LY,E09000013,E01001926,28809,51.470903,-0.205128,48,23,Hammersmith and Fulham,7.776354975736187,9.720443719670234
N10 3BE,E09000014,E01001993,28651,51.589835,-0.14833,51,14,Haringey,8.704221105690523,10.240260124341793
HA5 3AR,E09000015,E01002188,32125,51.597061,-0.374531,70,30,Harrow,20.07603957299232,17.2080339197077
RM14 2BD,E09000016,E01002388,32563,51.546416,0.248237,67,24,Havering,25.54569410890491,22.876740993049175
HA6 1AP,E09000017,E01002482,32164,51.610511,-0.415139,67,13,Hillingdon,23.257686060649135,20.827778561775343
W4 2AZ,E09000018,E01002571,30161,51.488744,-0.245566,51,26,Hounslow,9.347920380636506,10.997553388984125
N7 8EB,E09000019,E01033487,23623,51.551391,-0.113788,31,22,Islington,4.155506471545451,8.04291575137829
W8 6AX,E09000020,E01002865,27993,51.499389,-0.200336,37,15,Kensington and Chelsea,6.004255052972462,9.736629815631018
KT2 7BZ,E09000021,E01002959,32171,51.412951,-0.272484,62,11,Kingston upon Thames,15.593051988250203,15.090050311209872
SW12 0DX,E09000022,E01003158,27507,51.444537,-0.139967,52,34,Lambeth,7.907660457859077,9.124223605222012
SE12 0LA,E09000023,E01003271,26075,51.439389,0.017382,57,20,Lewisham,12.488664881243706,13.145963032888112
SW19 4PU,E09000024,E01003461,31737,51.42354,-0.21818,52,18,Merton,12.28484577784961,14.174822051364933
E16 1DU,E09000025,E01033580,25889,51.505525,0.017723,47,21,Newham,9.380866409522307,11.975574139815711
IG8 9AJ,E09000026,E01003671,31809,51.603371,0.027314,59,27,Redbridge,14.086888961660222,14.32564979151887
TW11 8AA,E09000027,E01003891,32410,51.429673,-0.328,69,24,Richmond upon Thames,17.391959889636816,15.123443382292884
SE1 2AX,E09000028,E01032638,29878,51.501994,-0.069969,39,27,Southwark,3.5249913868099294,5.423063672015275
SM2 6EE,E09000029,E01032623,32359,51.342521,-0.203744,87,22,Sutton,20.028604656788193,13.812830797784962
E14 3AF,E09000030,E01004276,30144,51.487632,-0.018285,49,22,Tower Hamlets,7.446952095811226,9.118716852013746
E4 9QL,E09000031,E01004387,28095,51.611938,0.004976,60,16,Waltham Forest,13.77688077636711,13.77688077636711
SW18 5BT,E09000032,E01004599,31858,51.44056,-0.203815,52,24,Wandsworth,10.163511222659409,11.72712833383778
W9 1EX,E09000033,E01004707,31583,51.527477,-0.189526,44,24,Westminster,5.241156666627557,7.147031818128487
