pcds,oslaua,lsoa11,imd,lat,long,duration_to_central,total_walking,borough,distance_to_lse,average_speed_kmh
E1 7AA,E09000001,E01000005,8678,51.515567,-0.075635,30,20,City of London,2.86813420957996,5.73626841915992
IG11 0AG,E09000002,E01000093,2669,51.531241,0.106421,65,32,Barking and Dagenham,15.589932103509291,14.390706557085501
NW11 9EH,E09000003,E01000221,2878,51.573205,-0.211092,49,23,Barnet,9.259048524153448,11.337610437738915
DA8 2AB,E09000004,E01000429,3591,51.478252,0.18277,71,21,Bexley,21.1533007004124,17.87602876091189
NW10 0AB,E09000005,E01000601,1192,51.553022,-0.253283,54,26,Brent,10.385458465056923,11.539398294507691
SE9 4AZ,E09000006,E01000782,2534,51.426784,0.047295,66,17,Bromley,14.975169904438404,13.61379082221673
NW3 2JH,E09000007,E01000890,4006,51.55308,-0.157295,49,33,Camden,5.1587241302803655,6.316805057486162
CR0 2PF,E09000008,E01001178,1096,51.388829,-0.106395,63,20,Croydon,13.96594684641335,13.300901758488905
W13 0AA,E09000009,E01001210,2075,51.528476,-0.329573,62,17,Ealing,14.81253893567624,14.33471509904152
N9 0AS,E09000010,E01001483,1643,51.628319,-0.039035,71,37,Enfield,13.809565154439472,11.670055060089695
SE2 9AT,E09000011,E01001575,2565,51.497094,0.11653,58,23,Greenwich,16.28971728923524,16.851431678519216
E9 5PE,E09000012,E01001847,1315,51.549218,-0.036149,53,27,Hackney,6.8261258654770645,7.72768965903064
SW6 7LH,E09000013,E01001885,2091,51.483947,-0.206633,45,28,Hammersmith and Fulham,7.062952067974029,9.417269423965372
N17 6AA,E09000014,E01002082,546,51.597784,-0.082097,49,15,Haringey,9.621776510427992,11.781767155626113
HA7 3BG,E09000015,E01002227,4814,51.615927,-0.3335,76,17,Harrow,18.78729653251158,14.832076209877563
RM3 7BF,E09000016,E01002280,2185,51.608524,0.213145,91,17,Havering,25.147021104271612,16.58045347534392
UB4 0NZ,E09000017,E01002545,3488,51.518158,-0.394377,74,20,Hillingdon,19.22213813991493,15.585517410741833
TW7 7LD,E09000018,E01002673,2294,51.459956,-0.334724,59,12,Hounslow,16.253608610729774,16.52909350243706
N19 5BH,E09000019,E01002773,2164,51.564139,-0.138957,42,21,Islington,5.773074487545034,8.247249267921477
W10 5BJ,E09000020,E01002857,1012,51.525571,-0.207525,53,20,Kensington and Chelsea,6.400828794827533,7.2462212771632455
KT1 3EH,E09000021,E01002969,4000,51.408572,-0.289674,58,22,Kingston upon Thames,16.77830019369982,17.356862269344642
SE19 1AJ,E09000022,E01003070,3295,51.424067,-0.085595,56,12,Lambeth,10.257400405188845,10.990071862702333
BR3 1TF,E09000023,E01003192,2371,51.42199,-0.021213,55,18,Lewisham,12.217409872747822,13.32808349754308
CR4 1GN,E09000024,E01003432,4161,51.395495,-0.131708,68,9,Merton,13.244117382147948,11.68598592542466
E6 5AA,E09000025,E01003486,2519,51.512895,0.060363,52,19,Newham,12.285998433770642,14.176152038966125
IG5 0BP,E09000026,E01003712,4305,51.588386,0.0687,61,20,Redbridge,15.281892824341456,15.031369991155533
TW12 3PJ,E09000027,E01003832,5206,51.424756,-0.383269,87,24,Richmond upon Thames,20.975028524856572,14.465536913694189
SE17 2AD,E09000028,E01003971,2115,51.488708,-0.085176,33,12,Southwark,3.5851056161962225,6.518373847629495
SM6 9AF,E09000029,E01004083,3200,51.353325,-0.129833,74,24,Sutton,17.92119250126678,14.53069662264874
E14 0BD,E09000030,E01004245,2763,51.51353,-0.001755,43,15,Tower Hamlets,7.982082025345125,11.137788872574593
E17 5EA,E09000031,E01004399,2576,51.601174,-0.030096,58,17,Waltham Forest,11.405111485504436,11.79839119190114
SW11 2LB,E09000032,E01004541,4700,51.468317,-0.173382,42,23,Wandsworth,6.42480410517878,9.17829157882683
NW8 8EA,E09000033,E01033598,1850,51.525868,-0.172583,42,17,Westminster,4.0682665971844925,5.811809424549275
