msoa11,duration_to_central,oslaua,borough
E02000001,13,E09000001,City of London
E02000002,72,E09000002,Barking and Dagenham
E02000003,75,E09000002,Barking and Dagenham
E02000004,72,E09000002,Barking and Dagenham
E02000005,72,E09000002,Barking and Dagenham
E02000007,71,E09000002,Barking and Dagenham
E02000008,72,E09000002,Barking and Dagenham
E02000009,70,E09000002,Barking and Dagenham
E02000010,67,E09000002,Barking and Dagenham
E02000011,64,E09000002,Barking and Dagenham
E02000012,53,E09000002,Barking and Dagenham
E02000013,69,E09000002,Barking and Dagenham
E02000014,64,E09000002,Barking and Dagenham
E02000015,58,E09000002,Barking and Dagenham
E02000016,52,E09000002,Barking and Dagenham
E02000017,55,E09000002,Barking and Dagenham
E02000018,64,E09000002,Barking and Dagenham
E02000019,73,E09000002,Barking and Dagenham
E02000020,59,E09000002,Barking and Dagenham
E02000021,67,E09000002,Barking and Dagenham
E02000022,53,E09000002,Barking and Dagenham
E02000023,65,E09000002,Barking and Dagenham
E02000024,71,E09000003,Barnet
E02000025,60,E09000003,Barnet
E02000026,66,E09000003,Barnet
E02000027,70,E09000003,Barnet
E02000028,48,E09000003,Barnet
E02000029,46,E09000003,Barnet
E02000030,63,E09000003,Barnet
E02000031,62,E09000003,Barnet
E02000032,56,E09000003,Barnet
E02000033,51,E09000003,Barnet
E02000034,68,E09000003,Barnet
E02000035,60,E09000003,Barnet
E02000036,74,E09000003,Barnet
E02000037,63,E09000003,Barnet
E02000038,48,E09000003,Barnet
E02000039,62,E09000003,Barnet
E02000040,59,E09000003,Barnet
E02000041,59,E09000003,Barnet
E02000042,55,E09000003,Barnet
E02000043,53,E09000003,Barnet
E02000044,52,E09000003,Barnet
E02000045,45,E09000003,Barnet
E02000046,51,E09000003,Barnet
E02000047,58,E09000003,Barnet
E02000048,63,E09000003,Barnet
E02000049,61,E09000003,Barnet
E02000050,57,E09000003,Barnet
E02000051,53,E09000003,Barnet
E02000052,54,E09000003,Barnet
E02000053,59,E09000003,Barnet
E02000054,65,E09000003,Barnet
E02000055,49,E09000003,Barnet
