pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,park,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp,duration_to_central,total_walking
EC1Y 4AG,200902,,E99999999,E99999999,E09000001,E05009299,E43000191,1,532601,181925,1,E18000007,E40000003,E92000001,E12000007,5,E14000639,E15000007,E24000015,E30000234,E16000010,E09000001,00AAFQ,E00000019,00AAFQ,E99999999,E01000002,E02000001,5,2A1,E00000019,E01000002,E02000001,E33032177,E38000255,E34004707,E35000758,A1,2D3,51.520686,-0.090178,E37000051,,E23000034,30379,E56000028,E54000029,28,10
IG11 9AA,198001,,E99999999,E99999999,E09000002,E05000035,E43000192,0,545624,184580,1,E18000007,E40000003,E92000001,E12000007,5,E14000540,E15000007,E24000015,E30000234,E16000009,E09000002,00ABGG,E00000339,00ABGG,E99999999,E01000069,E02000012,5,6A2,E00000339,E01000069,E02000012,E33032217,E38000255,E34004707,E35001364,A1,4C1,51.541338,0.098494,E37000051,,E23000001,17580,E56000028,E54000029,55,22
N20 8DN,200106,,E99999999,E99999999,E09000003,E05000059,E43000193,0,525780,193966,1,E18000007,E40000003,E92000001,E12000007,5,E14000636,E15000007,E24000012,E30000234,E16000006,E09000003,00ACGP,E00001374,00ACGP,E99999999,E01000280,E02000030,5,4D1,E00001374,E01000280,E02000030,E33032297,E38000240,E34004707,E35001035,A1,6A1,51.630455,-0.184129,E37000051,,E23000001,31544,E56000027,E54000028,58,23
DA5 1DY,201404,,E99999999,E99999999,E09000004,E05011229,E43000194,0,549340,173506,1,E18000007,E40000003,E92000001,E12000007,5,E14000869,E15000007,E24000015,E30000234,E17000002,E09000004,00ADGT,E00002191,00ADGT,E99999999,E01000448,E02000087,5,4C3,E00002191,E01000448,E02000087,E33032564,E38000244,E34004707,E35001091,A1,6B1,51.440866,0.147384,E37000051,,E23000001,32132,E56000010,E54000030,65,14
HA3 0PF,198001,,E99999999,E99999999,E09000005,E05000093,E43000195,0,517822,187836,1,E18000007,E40000003,E92000001,E12000007,5,E14000592,E15000007,E24000013,E30000234,E16000045,E09000005,00AEGS,E00002625,00AEGS,E99999999,E01000539,E02000096,5,7A3,E00002625,E01000539,E02000096,E33032604,E38000256,E34004707,E35000585,A1,4C3,51.577084,-0.301107,E37000051,,E23000001,25260,E56000021,E54000027,58,27
BR5 1HR,198001,,E99999999,E99999999,E09000006,E05000124,E43000196,0,545002,167211,1,E18000007,E40000003,E92000001,E12000007,5,E14000872,E15000007,E24000016,E30000234,E16000004,E09000006,00AFGY,E00003977,00AFGY,E99999999,E01000810,E02000151,5,4B3,E00003977,E01000810,E02000151,E33032863,E38000244,E34004707,E35000434,A1,6A1,51.385428,0.082414,E37000051,,E23000001,32559,E56000010,E54000030,56,13
NW3 4DU,198001,,E99999999,E99999999,E09000007,E05000133,E43000197,0,526860,184865,1,E18000007,E40000003,E92000001,E12000007,5,E14000727,E15000007,E24000014,E30000234,E16000047,E09000007,00AGGJ,E00004341,00AGGJ,E99999999,E01000882,E02000173,5,2A2,E00004341,E01000882,E02000173,E33032976,E38000240,E34004707,E35000865,A1,2D3,51.548425,-0.17182,E37000051,,E23000001,31192,E56000027,E54000028,43,25
CR2 0AA,198001,,E99999999,E99999999,E09000008,E05011478,E43000198,0,533144,162715,1,E18000007,E40000003,E92000001,E12000007,5,E14000656,E15000007,E24000016,E30000234,E16000049,E09000008,00AHGL,E00005180,00AHGL,E99999999,E01001032,E02000228,5,4D1,E00005180,E01001032,E02000228,E33033246,E38000245,E34004707,E35001466,A1,5B1,51.347927,-0.089572,E37000051,,E23000001,31701,E56000021,E54000031,54,15
W4 1AA,198001,,E99999999,E99999999,E09000009,E05000191,E43000199,0,521272,179490,1,E18000007,E40000003,E92000001,E12000007,5,E14000674,E15000007,E24000013,E30000234,E16000035,E09000009,00AJHA,E00006840,00AJHA,E99999999,E01001375,E02000271,5,6D1,E00006840,E01001375,E02000271,E33033438,E38000256,E34004707,E35001504,A1,5A2,51.501346,-0.254217,E37000051,,E23000001,29992,E56000021,E54000027,53,17
N21 2LB,198001,,E99999999,E99999999,E09000010,E05000200,E43000200,0,531975,195016,1,E18000007,E40000003,E92000001,E12000007,5,E14000692,E15000007,E24000012,E30000234,E16000008,E09000010,00AKGT,E00007243,00AKGT,E99999999,E01001456,E02000298,5,6D1,E00007243,E01001456,E02000298,E33033562,E38000240,E34004707,E35000978,A1,5A2,51.638473,-0.09428,E37000051,,E23000001,29825,E56000027,E54000028,66,35
