pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,park,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp,duration_to_central,total_walking
E1 7AA,200012,,E99999999,E99999999,E09000001,E05009308,E43000191,0,533623,181382,1,E18000007,E40000003,E92000001,E12000007,5,E14000639,E15000007,E24000015,E30000234,E16000010,E09000001,00AAFX,E00000029,00AAFX,E99999999,E01000005,E02000001,5,2A2,E00000029,E01000005,E02000001,E33028943,E38000255,E34004707,E35000758,A1,3B3,51.515567,-0.075635,E37000051,,E23000034,8678,E56000028,E54000029,30,20
IG11 0AG,200608,,E99999999,E99999999,E09000002,E05000039,E43000192,0,546206,183473,1,E18000007,E40000003,E92000001,E12000007,5,E14000540,E15000007,E24000015,E30000234,E16000009,E09000002,00ABGL,E00000462,00ABGL,E99999999,E01000093,E02000023,5,7B1,E00000462,E01000093,E02000023,E33032255,E38000255,E34004707,E35001364,A1,4A3,51.531241,0.106421,E37000051,,E23000001,2669,E56000028,E54000029,65,32
NW11 9EH,198001,,E99999999,E99999999,E09000003,E05000053,E43000193,0,524068,187553,1,E18000007,E40000003,E92000001,E12000007,5,E14000703,E15000007,E24000012,E30000234,E16000006,E09000003,00ACGH,E00001076,00ACGH,E99999999,E01000221,E02000062,5,7B1,E00001076,E01000221,E02000062,E33032472,E38000240,E34004707,E35001035,A1,3A1,51.573205,-0.211092,E37000051,,E23000001,2878,E56000027,E54000028,49,23
DA8 2AB,198001,,E99999999,E99999999,E09000004,E05011231,E43000194,0,551677,177736,1,E18000007,E40000003,E92000001,E12000007,5,E14000558,E15000007,E24000015,E30000234,E17000002,E09000004,00ADGR,E00002139,00ADGR,E99999999,E01000429,E02000072,5,6C1,E00002139,E01000429,E02000072,E33032506,E38000244,E34004707,E35001091,A1,4A3,51.478252,0.18277,E37000051,,E23000001,3591,E56000010,E54000030,71,21
NW10 0AB,200711,,E99999999,E99999999,E09000005,E05000100,E43000195,0,521198,185238,1,E18000007,E40000003,E92000001,E12000007,5,E14000591,E15000007,E24000013,E30000234,E16000045,E09000005,00AEHA,E00002899,00AEHA,E99999999,E01000601,E02000113,5,7B2,E00002899,E01000601,E02000113,E33032678,E38000256,E34004707,E35000585,A1,3A1,51.553022,-0.253283,E37000051,,E23000001,1192,E56000021,E54000027,54,26
SE9 4AZ,199412,,E99999999,E99999999,E09000006,E05000121,E43000196,0,542430,171741,1,E18000007,E40000003,E92000001,E12000007,5,E14000604,E15000007,E24000016,E30000234,E16000004,E09000006,00AFGU,E00003825,00AFGU,E99999999,E01000782,E02000127,5,5B3,E00003825,E01000782,E02000127,E33032751,E38000244,E34004707,E35000434,A1,3A1,51.426784,0.047295,E37000051,,E23000001,2534,E56000010,E54000030,66,17
NW3 2JH,198001,,E99999999,E99999999,E09000007,E05000134,E43000197,0,527854,185408,1,E18000007,E40000003,E92000001,E12000007,5,E14000750,E15000007,E24000014,E30000234,E16000047,E09000007,00AGGK,E00004400,00AGGK,E99999999,E01000890,E02000172,5,7B2,E00004400,E01000890,E02000172,E33032964,E38000240,E34004707,E35000865,A1,3B1,51.55308,-0.157295,E37000051,,E23000001,4006,E56000027,E54000028,49,33
CR0 2PF,198001,,E99999999,E99999999,E09000008,E05011488,E43000198,0,531855,167233,1,E18000007,E40000003,E92000001,E12000007,5,E14000655,E15000007,E24000016,E30000234,E16000049,E09000008,00AHHD,E00005909,00AHHD,E99999999,E01001178,E02000208,5,7B1,E00005909,E01001178,E02000208,E33033146,E38000245,E34004707,E35001466,A1,3A2,51.388829,-0.106395,E37000051,,E23000001,1096,E56000021,E54000031,63,20
W13 0AA,198001,,E99999999,E99999999,E09000009,E05000171,E43000199,0,515973,182385,1,E18000007,E40000003,E92000001,E12000007,5,E14000675,E15000007,E24000013,E30000234,E16000035,E09000009,00AJGD,E00006043,00AJGD,E99999999,E01001210,E02000253,5,7B2,E00006043,E01001210,E02000253,E33033346,E38000256,E34004707,E35001504,A1,3C1,51.528476,-0.329573,E37000051,,E23000001,2075,E56000021,E54000027,62,17
N9 0AS,198001,,E99999999,E99999999,E09000010,E05000203,E43000200,0,535828,193988,1,E18000007,E40000003,E92000001,E12000007,5,E14000687,E15000007,E24000012,E30000234,E16000008,E09000010,00AKGX,E00007336,00AKGX,E99999999,E01001483,E02000301,5,7B2,E00007336,E01001483,E02000301,E33033573,E38000240,E34004707,E35000978,A1,3B1,51.628319,-0.039035,E37000051,,E23000001,1643,E56000027,E54000028,71,37
SE2 9AT,198001,,E99999999,E99999999,E09000011,E05000214,E43000201,0,547015,179696,1,E18000007,E40000003,E92000001,E12000007,5,E14000696,E15000007,E24000015,E30000234,E16000005,E09000011,00ALGP,E00007824,00ALGP,E99999999,E01001575,E02000315,5,7A2,E00007824,E01001575,E02000315,E33033635,E38000244,E34004707,E35001510,A1,4A1,51.497094,0.11653,E37000051,,E23000001,2565,E56000010,E54000030,58,23
E9 5PE,198001,,E99999999,E99999999,E09000012,E05009374,E43000202,0,536264,185197,1,E18000007,E40000003,E92000001,E12000007,5,E14000721,E15000007,E24000015,E30000234,E16000010,E09000012,00AMGU,E00009192,00AMGU,E99999999,E01001847,E02000362,5,7B1,E00009192,E01001847,E02000362,E33033802,E38000255,E34004707,E35000973,A1,3A1,51.549218,-0.036149,E37000051,,E23000001,1315,E56000028,E54000029,53,27
SW6 7LH,199706,,E99999999,E99999999,E09000013,E05000254,E43000203,0,524622,177635,1,E18000007,E40000003,E92000001,E12000007,5,E14000629,E15000007,E24000013,E30000234,E16000030,E09000013,00ANGE,E00009411,00ANGE,E99999999,E01001885,E02000386,5,7B2,E00009411,E01001885,E02000386,E33033939,E38000256,E34004707,E35000839,A1,3A1,51.483947,-0.206633,E37000051,,E23000001,2091,E56000021,E54000027,45,28
N17 6AA,198001,,E99999999,E99999999,E09000014,E05000282,E43000204,0,532935,190513,1,E18000007,E40000003,E92000001,E12000007,5,E14001002,E15000007,E24000012,E30000234,E16000013,E09000014,00APGS,E00010458,00APGS,E99999999,E01002082,E02000409,5,7B1,E00010458,E01002082,E02000409,E33034045,E38000240,E34004707,E35000478,A1,3A1,51.597784,-0.082097,E37000051,,E23000001,546,E56000027,E54000028,49,15
HA7 3BG,200611,,E99999999,E99999999,E09000015,E05000303,E43000205,0,515479,192104,1,E18000007,E40000003,E92000001,E12000007,5,E14000731,E15000007,E24000013,E30000234,E16000046,E09000015,00AQGS,E00011135,00AQGS,E99999999,E01002227,E02000435,5,7A3,E00011135,E01002227,E02000435,E33034162,E38000256,E34004707,E35001108,A1,4C2,51.615927,-0.3335,E37000051,,E23000001,4814,E56000021,E54000027,76,17
RM3 7BF,201002,,E99999999,E99999999,E09000016,E05000310,E43000206,0,553346,192285,1,E18000007,E40000003,E92000001,E12000007,5,E14000751,E15000007,E24000015,E30000234,E16000002,E09000016,00ARGG,E00011381,00ARGG,E99999999,E01002280,E02000467,5,1B1,E00011381,E01002280,E02000467,E33034269,E38000255,E34004707,E35001275,A1,8D2,51.608524,0.213145,E37000051,,E23000001,2185,E56000028,E54000029,91,17
UB4 0NZ,198001,,E99999999,E99999999,E09000017,E05000344,E43000207,0,511503,181137,1,E18000007,E40000003,E92000001,E12000007,5,E14000737,E15000007,E24000013,E30000266,E16000007,E09000017,00ASHD,E00012650,00ASHD,E99999999,E01002545,E02000516,5,7A1,E00012650,E01002545,E02000516,E33034481,E38000256,E34004707,E35001255,A1,4C2,51.518158,-0.394377,E37000051,,E23000001,3488,E56000021,E54000027,74,20
TW7 7LD,198001,,E99999999,E99999999,E09000018,E05000362,E43000208,0,515789,174757,1,E18000007,E40000003,E92000001,E12000007,5,E14000593,E15000007,E24000013,E30000266,E16000036,E09000018,00ATGQ,E00013253,00ATGQ,E99999999,E01002673,E02000545,5,7B2,E00013253,E01002673,E02000545,E33034619,E38000256,E34004707,E35001294,A1,3B1,51.459956,-0.334724,E37000051,,E23000001,2294,E56000021,E54000027,59,12
N19 5BH,199906,,E99999999,E99999999,E09000019,E05000376,E43000209,0,529094,186670,1,E18000007,E40000003,E92000001,E12000007,5,E14000763,E15000007,E24000014,E30000234,E16000048,E09000019,00AUGH,E00013820,00AUGH,E99999999,E01002773,E02000557,5,7B2,E00013820,E01002773,E02000557,E33034672,E38000240,E34004707,E35000168,A1,3A1,51.564139,-0.138957,E37000051,,E23000001,2164,E56000027,E54000028,42,21
W10 5BJ,200012,,E99999999,E99999999,E09000020,E05009396,E43000210,0,524445,182262,1,E18000007,E40000003,E92000001,E12000007,5,E14000768,E15000007,E24000014,E30000234,E16000056,E09000020,00AWGF,E00014308,00AWGF,E99999999,E01002857,E02000577,5,7B2,E00014308,E01002857,E02000577,E33034798,E38000256,E34004707,E35000074,A1,3B1,51.525571,-0.207525,E37000051,,E23000001,1012,E56000021,E54000027,53,20
KT1 3EH,198001,,E99999999,E99999999,E09000021,E05000409,E43000211,0,519052,169115,1,E18000007,E40000003,E92000001,E12000007,5,E14000770,E15000007,E24000016,E30000266,E16000003,E09000021,00AXGG,E00014972,00AXGG,E99999999,E01002969,E02000602,5,7B1,E00014972,E01002969,E02000602,E33034982,E38000245,E34004707,E35000944,A1,3A1,51.408572,-0.289674,E37000051,,E23000001,4000,E56000021,E54000031,58,22
SE19 1AJ,198001,,E99999999,E99999999,E09000022,E05000422,E43000212,0,533198,171189,1,E18000007,E40000003,E92000001,E12000007,5,E14000673,E15000007,E24000014,E30000234,E16000058,E09000022,00AYGF,E00015459,00AYGF,E99999999,E01003070,E02000650,5,7B1,E00015459,E01003070,E02000650,E33035210,E38000244,E34004707,E35000161,A1,3D2,51.424067,-0.085595,E37000051,,E23000001,3295,E56000010,E54000030,56,12
BR3 1TF,198001,,E99999999,E99999999,E09000023,E05000437,E43000213,0,537682,171077,1,E18000007,E40000003,E92000001,E12000007,5,E14000788,E15000007,E24000015,E30000234,E16000060,E09000023,00AZGD,E00016151,00AZGD,E99999999,E01003192,E02000686,5,7B1,E00016151,E01003192,E02000686,E33035350,E38000244,E34004707,E35000058,A1,3A1,51.42199,-0.021213,E37000051,,E23000001,2371,E56000010,E54000030,55,18
CR4 1GN,200207,,E99999999,E99999999,E09000024,E05000467,E43000214,0,530075,167929,1,E18000007,E40000003,E92000001,E12000007,5,E14000823,E15000007,E24000016,E30000234,E16000068,E09000024,00BAGK,E00017355,00BAGK,E99999999,E01003432,E02000707,5,7A2,E00017355,E01003432,E02000707,E33035451,E38000245,E34004707,E35000859,A1,4A3,51.395495,-0.131708,E37000051,,E23000001,4161,E56000021,E54000031,68,9
E6 5AA,201411,,E99999999,E99999999,E09000025,E05000475,E43000215,0,543069,181342,1,E18000007,E40000003,E92000001,E12000007,5,E14000679,E15000007,E24000015,E30000234,E16000012,E09000025,00BBGB,E00017604,00BBGB,E99999999,E01003486,E02000746,5,7B2,E00017604,E01003486,E02000746,E33035604,E38000255,E34004707,E35001394,A1,3A1,51.512895,0.060363,E37000051,,E23000001,2519,E56000028,E54000029,52,19
