pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,park,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
EC4Y 0DR,198001,,E99999999,E99999999,E09000001,E05009297,E43000191,0,531477,180862,1,E18000007,E40000003,E92000001,E12000007,5,E14000639,E15000007,E24000015,E30000234,E16000010,E09000001,00AAFT,E00000025,00AAFT,E99999999,E01000004,E02000001,5,2A2,E00000025,E01032740,E02000001,E33028863,E38000255,E34004707,E35000758,A1,2D3,51.511396,-0.106765,E37000051,,E23000034,18089,E56000028,E54000029
RM6 5LJ,198001,,E99999999,E99999999,E09000002,E05000029,E43000192,0,548183,189385,1,E18000007,E40000003,E92000001,E12000007,5,E14000657,E15000007,E24000015,E30000234,E16000009,E09000002,00ABGA,E00000138,00ABGA,E99999999,E01000027,E02000002,5,5B3,E00000138,E01000027,E02000002,E33032182,E38000255,E34004707,E35001364,A1,4A3,51.583846,0.137391,E37000051,,E23000001,5097,E56000028,E54000029
RM8 1NU,200106,,E99999999,E99999999,E09000002,E05000042,E43000192,0,548557,187701,1,E18000007,E40000003,E92000001,E12000007,5,E14000657,E15000007,E24000015,E30000234,E16000009,E09000002,00ABGP,E00000567,00ABGP,E99999999,E01000111,E02000003,5,7A2,E00000567,E01000111,E02000003,E33029031,E38000255,E34004707,E35001364,A1,4C2,51.568618,0.1421,E37000051,,E23000001,8544,E56000028,E54000029
RM10 7AB,198001,,E99999999,E99999999,E09000002,E05000030,E43000192,0,550401,186297,1,E18000007,E40000003,E92000001,E12000007,5,E14000657,E15000007,E24000015,E30000234,E16000009,E09000002,00ABGB,E00000187,00ABGB,E99999999,E01000034,E02000004,5,5B3,E00000187,E01000034,E02000004,E33032192,E38000255,E34004707,E35001364,A1,4A3,51.555513,0.168059,E37000051,,E23000001,5575,E56000028,E54000029
RM8 3PR,198001,,E99999999,E99999999,E09000002,E05000040,E43000192,0,548592,186738,1,E18000007,E40000003,E92000001,E12000007,5,E14000540,E15000007,E24000015,E30000234,E16000009,E09000002,00ABGM,E00000498,00ABGM,E99999999,E01000101,E02000005,5,1B2,E00000498,E01000101,E02000005,E33032196,E38000255,E34004707,E35001364,A1,4A1,51.559955,0.142171,E37000051,,E23000001,4126,E56000028,E54000029
RM10 7PD,198001,,E99999999,E99999999,E09000002,E05000034,E43000192,0,549399,186161,1,E18000007,E40000003,E92000001,E12000007,5,E14000657,E15000007,E24000015,E30000234,E16000009,E09000002,00ABGF,E00000317,00ABGF,E99999999,E01000062,E02000007,5,5C2,E00000317,E01000062,E02000007,E33032197,E38000255,E34004707,E35001364,A1,3C1,51.554558,0.153559,E37000051,,E23000001,9781,E56000028,E54000029
RM9 5UB,198001,,E99999999,E99999999,E09000002,E05000034,E43000192,0,548503,185887,1,E18000007,E40000003,E92000001,E12000007,5,E14000657,E15000007,E24000015,E30000234,E16000009,E09000002,00ABGF,E00000321,00ABGF,E99999999,E01000065,E02000008,5,5B3,E00000321,E01000065,E02000008,E33032205,E38000255,E34004707,E35001364,A1,4A3,51.552332,0.140529,E37000051,,E23000001,4296,E56000028,E54000029
RM8 2RD,198001,,E99999999,E99999999,E09000002,E05000028,E43000192,0,547326,186140,1,E18000007,E40000003,E92000001,E12000007,5,E14000540,E15000007,E24000015,E30000234,E16000009,E09000002,00ABFZ,E00000124,00ABFZ,E99999999,E01000022,E02000009,5,7A2,E00000124,E01000022,E02000009,E33032207,E38000255,E34004707,E35001364,A1,4A1,51.554914,0.123672,E37000051,,E23000001,6098,E56000028,E54000029
RM10 8GY,200701,,E99999999,E99999999,E09000002,E05000027,E43000192,0,549311,184777,1,E18000007,E40000003,E92000001,E12000007,5,E14000540,E15000007,E24000015,E30000234,E16000009,E09000002,00ABFY,E00000095,00ABFY,E99999999,E01000015,E02000010,5,7A2,E00000095,E01000015,E02000010,E33032210,E38000255,E34004707,E35001364,A1,4A3,51.542145,0.151704,E37000051,,E23000001,6405,E56000028,E54000029
RM10 8XP,198001,,E99999999,E99999999,E09000002,E05000041,E43000192,0,550507,184493,1,E18000007,E40000003,E92000001,E12000007,5,E14000657,E15000007,E24000015,E30000234,E16000009,E09000002,00ABGN,E00000527,00ABGN,E99999999,E01000107,E02000011,5,6B2,E00000527,E01000107,E02000011,E33032211,E38000255,E34004707,E35001364,A1,4A3,51.539276,0.168816,E37000051,,E23000001,8865,E56000028,E54000029
